,Timestamp,Metadata,Headline,URL,ShortDesc
49,2018-07-25T06:32:06+00:00,, Brexit Bulletin: Taking Back Control ,https://www.bloomberg.com/news/articles/2018-07-25/brexit-bulletin-going-her-own-way," confused, saying he didn’t want any new borders in the Red Sea.Something to add? Please join our Facebook group, Brexit Decoded, and follow us @Brexit on Twitter.Missed yesterday’s Bulletin?You can... "
50,2018-01-15T15:30:00+00:00,markets, Why Shunning the Big Tech Stocks Isn't a Losing Bet for This $7 Billion Stock Manager ,https://www.bloomberg.com/news/articles/2018-01-15/shunning-faang-isn-t-a-losing-bet-for-7-billion-stock-manager," that have done better. And we’re looking for those.”The so-called FAANG stocks, which include Facebook Inc. and Apple Inc. among others, led the global stock rally in 2017. Amazon.com, Inc. rose... "
51,2018-01-15T13:51:33+00:00,view, Facebook's New Mission May Be Impossible ,https://www.bloomberg.com/view/articles/2018-01-15/facebook-s-new-mission-may-be-impossible," his proposed fix.  Facebook Unveils Changes to Address Fake NewsThe gist of Zuckerberg's criticism of Facebook is that ""video and other public content have exploded on Facebook in the past couple... "
52,2018-01-11T20:25:59+00:00,technology, Facebook Closes a Music Deal With YouTube’s Biggest Critic ,https://www.bloomberg.com/news/articles/2018-01-11/facebook-closes-a-music-deal-with-youtube-s-biggest-critic," In its quest to become an alternative to YouTube, Facebook Inc. has struck a deal with the popular video site’s loudest critic in the music industry.The social-media giant secured licenses to songs... "
53,2018-01-13T01:22:04+00:00,technology," Sheryl Sandberg, Jack Dorsey to Leave Disney’s Board ",https://www.bloomberg.com/news/articles/2018-01-13/facebook-s-sandberg-twitter-s-dorsey-to-depart-disney-board," company. Twitter and Facebook have also bid on and won the rights to stream live sporting events, a bedrock business for Disney and its ESPN network.Video CompetitionFacebook has escalated efforts... "
54,2018-01-12T21:00:10+00:00,, Your Evening Briefing ,https://www.bloomberg.com/news/articles/2018-01-12/your-evening-briefing," feeds toward content from family and friends at the expense of media outlets and businesses. Facebook shares tumbled 3.9 percent at noon in New York, cutting Zuckerberg’s fortune to $74.4 billion... "
55,2018-01-12T20:15:26+00:00,, Mark Zuckerberg's change of heart just cost him $2.9 billion ,https://www.bloomberg.com/news/videos/2018-01-12/mark-zuckerberg-s-change-of-heart-just-cost-him-2-9-billion-video,"                    Mark Zuckerberg's fortune was stripped of $2.9 billion after he made his Facebook announcement, @tommetcalf123 reports #tictocnews... "
56,2018-01-12T16:57:09+00:00,technology," Traders Don't Think Facebook's Shift Will Benefit Twitter, Snap ",https://www.bloomberg.com/news/articles/2018-01-12/traders-don-t-think-facebook-s-shift-will-benefit-twitter-snap," Intelligence analyst Jitendra Waral, who said that the steps Facebook is taking could change the advertising landscape. Facebook’s strategy is “great to gate the long-term decline in user engagement... "
57,2018-01-12T17:13:20+00:00,technology, Mark Zuckerberg’s Change of Heart Just Cost Him $3.3 Billion ,https://www.bloomberg.com/news/articles/2018-01-12/zuckerberg-s-change-of-heart-just-cost-facebook-ceo-2-9-billion, Mark Zuckerberg’s latest Facebook post is proving expensive.The co-founder of the world’s largest social-media business saw his fortune fall $2.9 billion Friday after he posted plans to shift users’... 
58,2018-01-12T16:18:35+00:00,markets, It's Official: Google and Facebook Are Communications Companies ,https://www.bloomberg.com/news/articles/2018-01-12/it-s-official-google-and-facebook-are-communications-companies," changed their opinion of which industries some of the stock market’s shiniest stars belong to.Facebook Inc. and Google’s parent Alphabet Inc. will leave the biggest industry classification, information... "
59,2018-01-10T23:55:02+00:00,politics," Facebook, Apple, GM Leaders Urge Congress to Protect Dreamers ",https://www.bloomberg.com/politics/articles/2018-01-10/facebook-apple-gm-leaders-urge-congress-to-protect-dreamers," Chief executives of more than 100 companies -- including Facebook Inc., Apple Inc. and General Motors Co. -- are urging Congress to pass by next week legislation to protect ""dreamers,"" undocumented... "
60,2018-04-11T21:00:25+00:00,politics, Rep. Schakowsky Says Facebook's Not Going to Regulate Itself ,https://www.bloomberg.com/news/videos/2018-04-11/rep-schakowsky-facebook-s-not-going-to-regulate-itself-video,"                               Democratic Congresswoman Jan Schakowsky of Illinois discusses Facebook CEO Mark Zuckerberg's testimony before Congress, regulating social media, and Speaker Paul Ryan's... "
61,2018-04-11T19:59:45+00:00,, Zuckerberg on Capitol Hill Day 2 ,https://www.bloomberg.com/news/videos/2018-04-11/zuckerberg-on-capitol-hill-day-2-video-jfviqrj3,"                                           On day 2 of Zuckerberg's testimony, the Facebook CEO admits Facebook also collects internet data on non-users #tictocnews... "
62,2018-04-11T19:02:59+00:00,politics, Zuckerberg Says Facebook Needs to Work on Diversity ,https://www.bloomberg.com/news/videos/2018-04-11/zuckerberg-says-facebook-needs-to-work-on-diversity-video,"                                                                            Mark Zuckerberg, Facebook Inc. chief executive officer, testifies before the House Energy and Commerce Committee about... "
63,2018-04-11T18:01:10+00:00,politics, Zuckerberg Admits Facebook Collects Data on Non-Users ,https://www.bloomberg.com/news/videos/2018-04-11/zuckerberg-admits-facebook-collects-data-on-non-users-video,"                                                                            Mark Zuckerberg, Facebook Inc. chief executive officer, testifies before the House Energy and Commerce Committee about... "
64,2018-04-11T19:00:27+00:00,technology, Zuckerberg Says Facebook Collects Internet Data on Non-Users ,https://www.bloomberg.com/news/articles/2018-04-11/zuckerberg-says-facebook-collects-internet-data-on-non-users," collecting public information from Facebook users, such as names. “We need to know when somebody is trying to repeatedly access our services,” he said.Facebook CEO Mark Zuckerberg answers questions... "
65,2018-04-11T10:00:36+00:00,politics, Zuckerberg Asks Congress to Be Friends ,https://www.bloomberg.com/politics/articles/2018-04-11/zuckerberg-asks-congress-to-be-friends," newsletter, and follow Bloomberg Politics on Twitter and Facebook for more.It's day two in the hot seat for Mark Zuckerberg.And if the Facebook chief was hoping his congressional appearance would help... "
66,2018-04-11T08:00:00+00:00,technology, Senators Tell Facebook CEO the Days of Self-Regulation May End ,https://www.bloomberg.com/news/articles/2018-04-11/senators-tell-facebook-ceo-the-days-of-self-regulation-may-end," The stock was down 0.40 percent Wednesday premarket.Understanding the Facebook-Cambridge Analytica Story: QuickTakeFacebook, fending off the Cambridge Analytica furor, has promised steps to improve... "
67,2018-04-11T07:00:20+00:00,politics, Macron Pulls Out All the Stops in Rail Reform—Even Doing TV ,https://www.bloomberg.com/politics/articles/2018-04-11/macron-pulls-out-all-the-stops-in-rail-reform-even-doing-tv," Emmanuel Macron snubbed local mainstream media -- granting few interviews and taking to Twitter and Facebook to directly address the French.Now, as rail and airline strikes disrupt transportation, retirees... "
68,2018-04-11T05:17:29+00:00,, Facebook's CEO Grilled Over Rohingya Muslims ,https://www.bloomberg.com/news/videos/2018-04-11/facebook-s-ceo-grilled-over-rohingya-muslims-video,                                                           Mark Zuckerberg is grilled over #Facebook's role in inciting violence against Rohingya Muslims #tictocnews... 
69,2018-04-11T00:17:14+00:00,, Mark Zuckerberg's Congressional Testimony About Facebook's User Agreement ,https://www.bloomberg.com/news/videos/2018-04-11/mark-zuckerberg-s-congressional-testimony-about-facebook-s-user-agreement-video," Facebook CEO Mark Zuckerberg kicked off two days of testimony to Congress on Tuesday, April 10, 2018.  This short video shows comments about Facebook's user agreement during... "
70,2018-02-02T11:51:58+00:00,technology," Apple iPhone Prices, Amazon Sales Show Big Tech Rally Has Legs ",https://www.bloomberg.com/news/articles/2018-02-02/apple-iphone-prices-amazon-sales-show-big-tech-rally-has-legs," Gerber, chief executive officer of Gerber Kawasaki Wealth and Investment Management, which owns Facebook Inc. and Apple shares. “These are businesses that we see generating hundreds of billions of... "
71,2018-02-02T05:00:00+00:00,technology, Meet the Judge in the Waymo-Uber Case ,https://www.bloomberg.com/news/articles/2018-02-02/waymo-uber-judge-alsup-runs-a-tight-ship-starting-at-7-30-a-m," Oracle to sign the same pledge. Both sides were deprived of potential tidbits of information from Facebook, LinkedIn, Instagram and Twitter that might give them insights into a particular juror’s biases... "
72,2018-02-01T16:00:01+00:00,markets, Hedge Fund Surges 119% on Bullish Valeant Bet ,https://www.bloomberg.com/news/articles/2018-02-01/hedge-fund-is-said-to-surge-119-succeeding-where-ackman-failed," lost $4 billion on ValeantThe ChinaRock fund steered clear of the FAANG technology stocks -- Facebook Inc., Amazon.com Inc., Apple Inc., Netflix Inc. and Alphabet Inc. -- which helped propel market... "
73,2018-02-01T11:35:17+00:00,markets," Facebook, Microsoft Steady Tech Stocks Amid Earnings Deluge ",https://www.bloomberg.com/news/articles/2018-02-01/facebook-microsoft-steady-tech-stocks-amid-deluge-of-earnings, rebounded from after-hour losses as a two-day flood of earnings began with positive signals from Facebook Inc. and Microsoft Corp. Bulls took solace from signs demand for their products remains brisk... 
74,2018-02-01T07:30:15+00:00,, Brexit Bulletin: Bridge in Troubled Water ,https://www.bloomberg.com/news/articles/2018-02-01/brexit-bulletin-bridge-in-troubled-water," had agreed to stay on. Nothing to see here ...For more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
75,2018-02-01T06:00:09+00:00,technology," Twitter, Craigslist Co-Founders Back Fact-Checking Startup Factmata ",https://www.bloomberg.com/news/articles/2018-02-01/twitter-craigslist-co-founders-back-fact-checking-startup-factmata," the best place to read news on the internet,” Ghulati said. He said he doubts people will use Facebook as their main source of news in five to 10 years. ... "
76,2018-02-01T01:41:50+00:00,technology, Bitcoin's Big Wipeout Erased $44 Billion of Value in January ,https://www.bloomberg.com/news/articles/2018-02-01/bitcoin-s-44-billion-january-dive-shows-the-harder-they-fall," industry from here on, he said.For more on cryptocurrencies:Digital Coins Tumble in January Amid Facebook, Tether ConcernsS. Korea Uncovers 638b Won of Illegal Crypto Related FX TradingCrypto Exchange... "
77,2018-02-01T01:23:00+00:00,technology, Facebook Is Counting on User Surveys for a ‘Meaningful’ Feed ,https://www.bloomberg.com/news/articles/2018-02-01/facebook-is-counting-on-user-surveys-for-a-meaningful-feed," What does that even mean?Facebook doesn’t know yet. It’s going to use old-school surveys to find out, the company said on an earnings call with investors.Since 2014, Facebook Inc. has worked with a... "
78,2018-01-31T22:04:08+00:00,markets, Five Things You Need to Know to Start Your Day ,https://www.bloomberg.com/news/articles/2018-01-31/five-things-you-need-to-know-to-start-your-day-jd3md5gw, Warnings on a correction in stocks  get louder.The Koreas get in the Olympic spirit.  For now.Facebook  wants you back.Why crypto traders  are so worried about Tether.The Philippines plans to get... 
79,2018-01-31T17:38:02+00:00,," Manulife’s Scanlon Previews Big Tech Earniings: MSFT, FB, AAPL ",https://www.bloomberg.com/news/audio/2018-01-31/manulife-s-scanlon-previews-big-tech-earniings-msft-fb-aapl," Abramowicz. GUEST: Michael Scanlon, Portfolio Manager for Manulife Asset Management, previews Facebook, Microsoft and Apple earnings. Running time 07:34... "
80,2018-04-10T03:26:21+00:00,, Alibaba’s Jack Ma Challenges Mark Zuckerberg to ‘Fix’ Facebook ,https://www.bloomberg.com/news/videos/2018-04-10/alibaba-s-jack-ma-challenges-mark-zuckerberg-to-fix-facebook-video,"                                            Alibaba's Jack Ma urges Mark Zuckerberg to ""fix"" Facebook during #BoaoForum2018 https://bloom.bg/2H6ezQh #tictocnews... "
81,2018-04-09T22:42:47+00:00,technology, Internet Association CEO Says Zuckerberg Has to Regain User Trust ,https://www.bloomberg.com/news/videos/2018-04-09/internet-assoc-ceo-says-zuckerberg-has-to-regain-user-trust-video,                                       Internet Association CEO Michael Beckerman discusses Facebook's reputation following the recent data breach as well as Mark Zuckerberg's upcoming testimony... 
82,2018-04-09T20:04:05+00:00,markets," CalSTRS 'Very Unhappy' With Facebook Governance, CIO Says ",https://www.bloomberg.com/news/videos/2018-04-09/calstrs-very-unhappy-with-facebook-governance-cio-says-video," Retirement System chief investment officer, discusses his decision to deactivate his personal Facebook account and the social-media company's response to its data privacy crisis. He speaks with Bloomberg's... "
83,2018-04-09T19:46:14+00:00,markets," Facebook Crisis Fueled by Zuckerberg’s Star Status, CalSTRS CIO Says ",https://www.bloomberg.com/news/articles/2018-04-09/ailman-says-facebook-crisis-fueled-by-zuckerberg-star-status," Chris Ailman discusses Facebook’s response to its data privacy crisis.(Source: Bloomberg)Ailman, 59, recently captured attention after deactivating his personal Facebook account last week, joining... "
84,2018-04-09T14:43:35+00:00,," Surveillance: China is in a Sweet Spot, Lord Turner Says ",https://www.bloomberg.com/news/audio/2018-04-09/surveillance-china-is-in-a-sweet-spot-lord-turner-says," Bloomberg Intelligence Director of North American Research, says data privacy is not just a Facebook issue, it’s a social media issue. This is a Bloomberg podcast. To download, watch or listen... "
85,2018-04-09T06:30:34+00:00,, Brexit Bulletin: The Road to Another Referendum ,https://www.bloomberg.com/news/articles/2018-04-09/brexit-bulletin-the-road-to-a-second-referendum," Photographer: Matt Cardy/Getty Images EuropeFor more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
86,2018-04-09T12:19:10+00:00,technology, Alibaba’s Jack Ma Challenges Mark Zuckerberg to ‘Fix’ Facebook ,https://www.bloomberg.com/news/articles/2018-04-09/alibaba-s-jack-ma-challenges-mark-zuckerberg-to-fix-facebook," about the Facebook furor, the billionaire started dismissing questions but then couldn’t help opining on the crisis facing the U.S. company.Jack MaPhotographer: Qilai Shen/BloombergFacebook’s shares... "
87,2018-04-06T20:31:17+00:00,, Your Evening Briefing ,https://www.bloomberg.com/news/articles/2018-04-06/your-evening-briefing," excessively tight.” Friday’s jobs report showed wages beginning to rise as hiring cooled in March.Facebook will soon let you retract messages, after CEO Mark Zuckerberg was caught using an early version... "
88,2018-04-06T18:39:07+00:00,view, Stingray Devices in Washington Aren't Alone in Spying on Phones ,https://www.bloomberg.com/view/articles/2018-04-06/stingray-devices-in-washington-aren-t-alone-in-spying-on-phones," may not have spent much time perusing Facebook’s terms of service. The challenge for the privacy-conscious user isn’t third parties; the challenge is Facebook itself, which exists not to connect... "
89,2018-04-06T18:00:13+00:00,technology, Facebook Rolls Out Plan to Battle Fake Ads With More Disclosure ,https://www.bloomberg.com/news/articles/2018-04-06/facebook-rolls-out-plan-to-battle-fake-ads-with-more-disclosure," through those steps won’t be able to run either type, Zuckerberg said in a Facebook post.New political adsSource: FacebookFacebook will hire more people to make the change before the 2018 midterm elections... "
90,2018-01-24T16:25:12+00:00,technology," AT&T Web Rights Proposal Is ‘Ultimate in Hypocrisy,’ Critics Say ",https://www.bloomberg.com/news/articles/2018-01-24/at-t-web-rights-proposal-is-ultimate-in-hypocrisy-critics-say," and protect consumers,” with rules that apply to network operators as well as websites, like Facebook and Google.Internet service providers have called for Congress to step in and create permanent... "
91,2018-01-24T09:00:01+00:00,, Kushner Cos. N.J. Towers Get New Life After Meeting With Mayor ,https://www.bloomberg.com/news/articles/2018-01-24/kushner-cos-n-j-towers-get-new-life-after-meeting-with-mayor," if they submit an application, I don’t foresee the council voting in favor,” Fulop wrote on Facebook.Fortress LoanAfter the missteps, Kushner Cos. and KABR were left to redraw building plans, restructure... "
92,2018-01-23T09:00:00+00:00,politics, Business Groups Spent Big on Lobbying During the Tax Overhaul ,https://www.bloomberg.com/politics/articles/2018-01-23/tax-bill-prompts-business-to-pay-heavily-for-lobbying-campaigns," company executive, alongside executives from Facebook Inc. and Twitter Inc., testified before Congress on Russian activities on their platforms. Facebook spent more than $3 million during the quarter... "
93,2018-01-23T07:30:19+00:00,, Brexit Bulletin: Ask the Turks ,https://www.bloomberg.com/news/articles/2018-01-23/brexit-bulletin-ask-the-turks," don’t know if I would subject Nigel to that.”For more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
94,2018-01-22T13:00:00+00:00,technology, Big Tech Is Buying More Clean Energy Than Ever in the Trump Era ,https://www.bloomberg.com/news/articles/2018-01-22/big-tech-is-buying-more-clean-energy-than-ever-in-the-trump-era," Companies, led by tech giants including Apple Inc. and Facebook Inc., are snapping up more clean energy than ever, even as shifting environmental policies from the U.S. to Europe threaten the economics... "
95,2018-01-22T07:47:20+00:00,, Brexit Bulletin: Macron’s Glimmer of Hope ,https://www.bloomberg.com/news/articles/2018-01-22/brexit-bulletin-macron-s-glimmer-of-hope," Peston on ITV on Sunday.Photographer: Simon DawsonFor more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
96,2018-01-19T18:40:12+00:00,technology, Facebook Decides Against Thursday Night Football Bid ,https://www.bloomberg.com/news/articles/2018-01-19/facebook-is-said-to-decide-against-thursday-night-football-bid," Facebook Inc., which has spent the last two years buying live sports rights to stream on its social network, is not bidding for the National Football League’s Thursday night package, according... "
97,2018-01-19T15:22:12+00:00,markets, ETF Bargain Hunters Buy $584 Million of Fidelity Funds ,https://www.bloomberg.com/news/articles/2018-01-18/etf-bargain-hunters-snag-584-million-of-low-cost-fidelity-funds," semiconductors and hardware companies. Its largest holdings are Apple Inc., Microsoft Corp., and Facebook Inc.“ETF managers are very focused on cost, so if they’re after certain sector strategies, sometimes... "
98,2018-01-19T10:48:28+00:00,politics, Trump’s First Year Ends on Shutdown Crisis Note ,https://www.bloomberg.com/politics/articles/2018-01-19/trump-s-first-year-ends-on-shutdown-crisis-note," morning? Sign up for the Balance of Power newsletter, and follow Bloomberg Politics on Twitter and Facebook for more.Donald Trump plans to cap his first year in office with a gala at his Mar-a-Lago resort... "
99,2018-01-19T07:35:21+00:00,, Brexit Bulletin: The Lady’s Not for Telling ,https://www.bloomberg.com/news/articles/2018-01-19/brexit-bulletin-the-lady-s-not-for-telling," position? Do you have any other Brexit questions? To keep the discussion going, join our new Facebook group, Brexit Decoded. I’ll be doing a Q&A session at 1 p.m. GMT today. Brexit Latest‘Be My... "
